stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id
ESTACION_9113,9113,Calle 22,4.6117908329609154,-74.0746314168677,1,,0
ESTACION_9114,9114,Calle 26,4.616803873779741,-74.0721583221228,1,,0
ESTACION_9115,9115,Calle 34,4.6216270540195286,-74.0697469206331,1,,0
ESTACION_9117,9117,Calle 45,4.6316930646493688,-74.067845158642911,1,,0
ESTACION_9119,9119,Calle 57,4.6432721416474312,-74.065811963114015,1,,0
ESTACION_9120,9120,Calle 63,4.6477054974866023,-74.064995632408326,1,,0
ESTACION_9122,9122,Calle 72,4.6584441609252423,-74.062062085744017,1,,0
ESTACION_9123,9123,Calle 76,4.6632296286859436,-74.061249343980322,1,,0
ESTACION_2303,2303,Calle 85,4.6715319368690729,-74.059800893325942,1,,0
ESTACION_9002,9002,Consuelo,4.5600931329985235,-74.123838633968049,1,,0
ESTACION_9108,9108,Hospital,4.595198084340236,-74.086278029603235,1,,0
ESTACION_7002,7002,Madelena,4.596280495124736,-74.156991383997379,1,,0
ESTACION_5101,5101,Mandalay,4.6308667536161439,-74.1414085178535,1,,0
ESTACION_5103,5103,Marsella,4.6296837892811951,-74.130386601506046,1,,0
ESTACION_2103,2103,Mazurén,4.73538842203494,-74.049058504134365,1,,0
ESTACION_4001,4001,Quirigua,4.7067448106002212,-74.1088424874019,1,,0
ESTACION_9104,9104,Restrepo,4.5820086327010481,-74.1013848284198,1,,0
ESTACION_3013,3013,Rionegro,4.68038380994414,-74.064814447377017,1,,0
ESTACION_2502,2502,Terminal,4.7690153118857266,-74.043498530013,1,,0
ESTACION_2101,2101,Toberín,4.7471252954714309,-74.047160478716577,1,,0
ESTACION_7103,7103,AV. Chile,4.6664016549512723,-74.074660918745977,1,,0
ESTACION_6100,6100,AV. Rojas,4.6622214432462474,-74.1089412163852,1,,0
ESTACION_7005,7005,Alquería,4.5942648438466538,-74.134276224559144,1,,0
ESTACION_2300,2300,Calle 100,4.6845005042363086,-74.057665769714234,1,,0
ESTACION_2205,2205,Calle 106,4.6940901317149661,-74.05601210982465,1,,0
ESTACION_2202,2202,Calle 127,4.7045017825327733,-74.054290752367436,1,,0
ESTACION_2105,2105,Calle 142,4.7268238022227553,-74.050545673934863,1,,0
ESTACION_2104,2104,Calle 146,4.7313812860957052,-74.049739733347749,1,,0
ESTACION_2102,2102,Calle 161,4.7421348582919416,-74.047948962588464,1,,0
ESTACION_2001,2001,Calle 187,4.7633559068648887,-74.044482816721285,1,,0
ESTACION_7112,7112,Comuneros,4.6041988397666973,-74.099917772474711,1,,0
ESTACION_3004,3004,Gratamira,4.7276845519755231,-74.074693102450382,1,,0
ESTACION_14005,14005,Las Aguas,4.6024597980860538,-74.068400399769516,1,,0
ESTACION_10004,10004,Policarpa,4.5864652406770556,-74.086803056123159,1,,0
ESTACION_4000,4000,Portal 80,4.7096654450348607,-74.110685719666577,1,,0
ESTACION_10008,10008,San Diego,4.6112671252430584,-74.071256949281093,1,,0
ESTACION_7503,7503,San Mateo,4.5862440459219238,-74.2048331741351,1,,0
ESTACION_7003,7003,Sevillana,4.595111944600407,-74.1475020964448,1,,0
ESTACION_4104,4104,Avenida 68,4.6857796590708878,-74.080580373346265,1,,0
ESTACION_8002,8002,Biblioteca,4.5703670626453405,-74.130455758896943,1,,0
