fare_id,route_id,origin_id,destination_id,contains_id
3,Z_5532-2,0,,
3,Z_6821-2,0,,
3,Z_6154-2,0,,
3,Z_6179,0,,
3,Z_6098,0,,
3,Z_5653-2,0,,
3,Z_5719-2,0,,
3,Z_6655-2,0,,
3,Z_7017-2,0,,
3,Z_5660,0,,
3,Z_5655,0,,
3,Z_5662,0,,
3,Z_6287,0,,
3,Z_6399-2,0,,
3,Z_5467,0,,
3,Z_6463,0,,
3,Z_6843-2,0,,
3,Z_6803,0,,
3,Z_6495,0,,
3,Z_6496,0,,
5,Z_6163,0,,
5,Z_6162,0,,
1,T_2138,0,,
3,Z_6177,0,,
1,T_2044,0,,
3,Z_6354-2,0,,
1,T_2125,0,,
1,T_1971,0,,
3,Z_6242-2,0,,
3,Z_6806,0,,
1,T_2108,0,,
3,Z_6804,0,,
3,Z_6805,0,,
1,T_1949,0,,
1,T_2153,0,,
1,T_1883,0,,
1,T_2033,0,,
1,T_2035,0,,
3,Z_5860,0,,
3,Z_6885,0,,
3,Z_6871,0,,
3,Z_6930,0,,
3,Z_6061,0,,
3,Z_4925,0,,
1,T_1933,0,,
1,T_2025,0,,
1,T_2174,0,,
1,T_2039,0,,
1,T_1808,0,,
3,Z_6824,0,,
3,Z_6538-2,0,,
3,Z_6758,0,,
1,T_2046,0,,
1,T_2143,0,,
1,T_2102,0,,
1,T_1985,0,,
3,Z_6495-2,0,,
3,Z_6496-2,0,,
3,Z_6130-2,0,,
3,Z_6134-2,0,,
3,Z_6915,0,,
3,Z_7037,0,,
3,Z_7010-2,0,,
3,Z_4916-2,0,,
3,Z_6276,0,,
3,Z_6651-2,0,,
3,Z_5678,0,,
3,Z_5948,0,,
3,Z_6248-2,0,,
5,Z_6164,0,,
5,Z_6162-2,0,,
3,Z_6370,0,,
3,Z_6369,0,,
3,Z_6467,0,,
3,Z_6646-2,0,,
3,Z_6628,0,,
3,Z_6623,0,,
3,Z_6878,0,,
5,Z_6955,0,,
5,Z_6956,0,,
4,T_2103,0,,
3,Z_4791,0,,
3,Z_4791-2,0,,
3,Z_6177-2,0,,
3,Z_5625,0,,
3,Z_5627,0,,
3,Z_4775-2,0,,
4,Z_6404,0,,
3,Z_5944,0,,
3,Z_5944-2,0,,
3,Z_7012,0,,
3,Z_5633,0,,
3,Z_5633-2,0,,
3,Z_6243,0,,
3,Z_6243-2,0,,
3,Z_7013,0,,
3,Z_7013-2,0,,
3,Z_5915,0,,
3,Z_6816-2,0,,
3,Z_5987,0,,
3,Z_6354,0,,
3,Z_6359,0,,
3,Z_6730,0,,
3,Z_6730-2,0,,
3,Z_6894,0,,
3,Z_5369,0,,
3,Z_5369-2,0,,
3,Z_6322,0,,
3,Z_6897,0,,
3,Z_6242,0,,
3,Z_6498,0,,
3,Z_6472,0,,
3,Z_6966-2,0,,
3,Z_6986,0,,
3,Z_6502,0,,
3,Z_6806-2,0,,
3,Z_6291,0,,
3,Z_6291-2,0,,
3,Z_6804-2,0,,
3,Z_6805-2,0,,
3,Z_6968,0,,
3,Z_6968-2,0,,
3,Z_6392,0,,
3,Z_6446,0,,
3,Z_6718,0,,
3,Z_6718-2,0,,
1,T_1880,0,,
3,Z_6451,0,,
3,Z_6455,0,,
3,Z_6480,0,,
3,Z_6690,0,,
3,Z_6547,0,,
3,Z_6987,0,,
3,Z_6917,0,,
3,Z_6917-2,0,,
1,T_2176,0,,
1,T_2178,0,,
3,Z_6656,0,,
3,Z_6656-2,0,,
3,Z_5998,0,,
3,Z_5998-2,0,,
3,Z_5658,0,,
3,Z_5658-2,0,,
1,T_2074,0,,
3,Z_6469,0,,
3,Z_6469-2,0,,
3,Z_4457,0,,
1,T_2180,0,,
1,T_2078,0,,
3,Z_5672,0,,
3,Z_5672-2,0,,
3,Z_6753,0,,
3,Z_6774,0,,
3,Z_6780,0,,
1,T_2175,0,,
3,Z_6120,0,,
3,Z_6640-2,0,,
3,Z_6534,0,,
3,Z_6822,0,,
3,Z_6662-2,0,,
3,Z_6856,0,,
3,Z_6398,0,,
3,Z_6398-2,0,,
3,Z_7000-2,0,,
1,T_1873,0,,
3,Z_6744,0,,
3,Z_6744-2,0,,
3,Z_6801,0,,
3,Z_6801-2,0,,
3,Z_5904,0,,
3,Z_5904-2,0,,
2,T_2011,0,,
3,Z_6467-2,0,,
3,Z_6985,0,,
3,Z_7029,0,,
3,Z_6984,0,,
4,T_1874,0,,
4,T_1875,0,,
1,T_2032,0,,
1,T_2066,0,,
3,Z_6858,0,,
3,Z_4652-2,0,,
3,Z_5330,0,,
3,Z_5330-2,0,,
3,Z_5517-2,0,,
3,Z_5515,0,,
3,Z_6325,0,,
3,Z_6940,0,,
1,T_1813,0,,
3,Z_7020,0,,
3,Z_7022-2,0,,
1,T_2132,0,,
1,T_2063,0,,
3,Z_5900-2,0,,
1,T_2184,0,,
3,Z_7018,0,,
3,Z_5339-2,0,,
3,Z_6567-2,0,,
3,Z_6594-2,0,,
2,T_1711,0,,
2,T_1713,0,,
3,Z_6651,0,,
3,Z_6248,0,,
3,Z_5899,0,,
3,Z_5899-2,0,,
3,Z_5847,0,,
3,Z_5847-2,0,,
3,Z_6678,0,,
3,Z_6678-2,0,,
3,Z_5902,0,,
3,Z_5902-2,0,,
3,Z_6516,0,,
3,Z_6516-2,0,,
1,T_2145,0,,
3,Z_6292,0,,
3,Z_6292-2,0,,
3,Z_6714,0,,
3,Z_5772,0,,
3,Z_5773,0,,
3,Z_6190,0,,
3,Z_6190-2,0,,
1,T_2109,0,,
3,Z_6479,0,,
1,T_2179,0,,
1,T_1965,0,,
1,T_1967,0,,
1,T_2036,0,,
1,T_2181,0,,
1,T_2146,0,,
4,Z_6901-2,0,,
3,Z_6060,0,,
3,Z_6081,0,,
3,Z_6081-2,0,,
3,Z_4924,0,,
3,Z_5340-2,0,,
3,Z_5446,0,,
3,Z_6717,0,,
3,Z_6717-2,0,,
3,Z_5769,0,,
3,Z_6313,0,,
3,Z_6313-2,0,,
3,Z_5854-2,0,,
3,Z_6314,0,,
3,Z_6943,0,,
1,T_2080,0,,
3,Z_5602-2,0,,
3,Z_6988-2,0,,
3,Z_6079,0,,
1,T_1811,0,,
3,Z_6693-2,0,,
3,Z_6646,0,,
1,T_2045,0,,
1,T_2124,0,,
1,T_2126,0,,
3,Z_6501,0,,
3,Z_6391,0,,
3,Z_6570,0,,
3,Z_6564,0,,
3,Z_6324,0,,
1,T_2133,0,,
1,T_2077,0,,
3,Z_6865,0,,
1,T_2151,0,,
3,Z_6314-2,0,,
1,T_1399,0,,
1,T_2128,0,,
1,T_1843,0,,
1,T_1844,0,,
1,T_1920,0,,
3,Z_5812,0,,
3,Z_6847-2,0,,
3,Z_6829,0,,
3,Z_5900,0,,
3,Z_4447-2,0,,
3,Z_4815-2,0,,
3,Z_6992,0,,
3,Z_5494-2,0,,
3,Z_6118,0,,
3,Z_5602,0,,
3,Z_6988,0,,
3,Z_5731-2,0,,
3,Z_5743,0,,
3,Z_5743-2,0,,
3,Z_6759,0,,
3,Z_6830-2,0,,
3,Z_6490,0,,
1,T_2173,0,,
3,Z_6997-2,0,,
3,Z_6449-2,0,,
3,Z_6493,0,,
3,Z_6922,0,,
3,Z_6922-2,0,,
3,Z_6918,0,,
3,Z_6918-2,0,,
3,Z_7006,0,,
3,Z_7032,0,,
3,Z_5765,0,,
3,Z_7037-2,0,,
3,Z_6914,0,,
3,Z_6816,0,,
1,T_1972,0,,
3,Z_6497,0,,
1,T_1879,0,,
1,T_1881,0,,
1,T_2177,0,,
1,T_2067,0,,
3,Z_6940-2,0,,
1,T_2182,0,,
1,T_2034,0,,
3,Z_6931,0,,
3,Z_6548-2,0,,
3,Z_6935,0,,
3,Z_6867,0,,
3,Z_6766,0,,
3,Z_6869,0,,
3,Z_5770,0,,
3,Z_6997,0,,
3,Z_7006-2,0,,
1,T_1890,0,,
3,Z_6635-2,0,,
3,Z_7018-2,0,,
3,Z_5532,0,,
3,Z_6079-2,0,,
3,Z_6939,0,,
3,Z_6939-2,0,,
3,Z_6640,0,,
3,Z_6535,0,,
3,Z_6821,0,,
3,Z_5339,0,,
3,Z_6824-2,0,,
3,Z_6538,0,,
3,Z_6154,0,,
3,Z_6179-2,0,,
3,Z_6823,0,,
3,Z_6831,0,,
3,Z_6662,0,,
3,Z_6385-2,0,,
3,Z_6098-2,0,,
3,Z_5653,0,,
3,Z_5719,0,,
3,Z_6441,0,,
3,Z_6441-2,0,,
3,Z_6567,0,,
3,Z_6655,0,,
3,Z_6693,0,,
3,Z_6908,0,,
3,Z_6758-2,0,,
3,Z_6962,0,,
3,Z_6962-2,0,,
3,Z_7017,0,,
3,Z_5238,0,,
3,Z_5661,0,,
3,Z_5656,0,,
3,Z_7000,0,,
3,Z_5663,0,,
3,Z_5665,0,,
3,Z_6288,0,,
3,Z_6268,0,,
3,Z_6290,0,,
3,Z_6681,0,,
3,Z_6681-2,0,,
3,Z_7032-2,0,,
3,Z_6399,0,,
3,Z_6401,0,,
3,Z_6976,0,,
3,Z_6976-2,0,,
3,Z_6965,0,,
3,Z_6965-2,0,,
1,T_1650,0,,
1,T_1939,0,,
1,T_1984,0,,
3,Z_6585,0,,
3,Z_6902-2,0,,
2,T_1746,0,,
3,Z_5677,0,,
1,T_1684,0,,
1,T_1966,0,,
1,T_2062,0,,
1,T_1322,0,,
1,T_2144,0,,
1,T_2099,0,,
1,T_2101,0,,
1,T_1892,0,,
3,Z_6359-2,0,,
1,T_1950,0,,
3,Z_6858-2,0,,
1,T_1884,0,,
4,Z_6531,0,,
4,Z_6431,0,,
4,Z_6944,0,,
3,Z_5167,0,,
3,Z_5861,0,,
3,Z_6609,0,,
3,Z_5263,0,,
3,Z_6784-2,0,,
3,Z_6124,0,,
3,Z_6932,0,,
3,Z_6885-2,0,,
3,Z_6548,0,,
3,Z_6866,0,,
3,Z_6934,0,,
3,Z_6872,0,,
3,Z_6754,0,,
3,Z_6936,0,,
3,Z_6868,0,,
3,Z_6782,0,,
3,Z_6775,0,,
3,Z_6767,0,,
3,Z_6781,0,,
3,Z_6925,0,,
3,Z_6877,0,,
3,Z_6930-2,0,,
3,Z_6870,0,,
3,Z_6929,0,,
3,Z_6927,0,,
3,Z_6875,0,,
3,Z_6863,0,,
4,Z_6901,0,,
1,T_1260,0,,
1,T_1354,0,,
3,Z_6847,0,,
3,Z_4447,0,,
1,T_1566,0,,
3,Z_5237,0,,
3,Z_5664,0,,
3,Z_6401-2,0,,
3,Z_5053-2,0,,
3,Z_6283-2,0,,
3,Z_6573,0,,
3,Z_6664,0,,
2,T_2163,0,,
2,T_1444,0,,
2,T_2161,0,,
2,T_2162,0,,
3,Z_6130,0,,
3,Z_6134,0,,
3,Z_7010,0,,
3,Z_4916,0,,
3,Z_6276-2,0,,
3,Z_6802,0,,
1,T_1891,0,,
3,Z_6445,0,,
3,Z_6691,0,,
1,T_2154,0,,
3,Z_5517,0,,
1,T_2014,0,,
3,Z_6609-2,0,,
3,Z_6124-2,0,,
3,Z_6933,0,,
3,Z_6876,0,,
3,Z_6928,0,,
3,Z_6926,0,,
3,Z_6905,0,,
1,T_2152,0,,
3,Z_6943-2,0,,
3,Z_5494,0,,
3,Z_6759-2,0,,
3,Z_6490-2,0,,
3,Z_6831-2,0,,
3,Z_6385,0,,
3,Z_6594,0,,
3,Z_5053,0,,
3,Z_6283,0,,
3,Z_5467-2,0,,
3,Z_5765-2,0,,
3,Z_6463-2,0,,
3,Z_6574,0,,
3,Z_6585-2,0,,
3,Z_6667,0,,
3,Z_6812,0,,
3,Z_6843,0,,
3,Z_6803-2,0,,
3,Z_6902,0,,
2,T_1413,0,,
2,T_1451,0,,
2,T_1452,0,,
3,Z_6622,0,,
1,T_1919,0,,
1,T_2085,0,,
2,T_2137,0,,
2,T_2136,0,,
2,T_1414,0,,
2,T_1951,0,,
2,T_2170,0,,
3,Z_5069,0,,
3,Z_5070,0,,
3,Z_5980,0,,
3,Z_5980-2,0,,
3,Z_5440,0,,
3,Z_5440-2,0,,
3,Z_6999,0,,
3,Z_6705,0,,
3,Z_6705-2,0,,
3,Z_6706,0,,
3,Z_6706-2,0,,
3,Z_4646,0,,
3,Z_4646-2,0,,
3,Z_6977,0,,
3,Z_6979,0,,
3,Z_4885,0,,
3,Z_4885-2,0,,
3,Z_5285,0,,
3,Z_5286,0,,
3,Z_5519,0,,
3,Z_5519-2,0,,
3,Z_6650,0,,
3,Z_7025,0,,
3,Z_5603,0,,
3,Z_5603-2,0,,
3,Z_7023,0,,
3,Z_5628,0,,
3,Z_6174,0,,
3,Z_6174-2,0,,
3,Z_4992,0,,
3,Z_4993,0,,
3,Z_6528,0,,
3,Z_6528-2,0,,
3,Z_6216,0,,
3,Z_6216-2,0,,
3,Z_5575,0,,
3,Z_5574,0,,
3,Z_6111,0,,
3,Z_6111-2,0,,
3,Z_6554,0,,
3,Z_6751,0,,
3,Z_6557,0,,
3,Z_5750,0,,
3,Z_5749,0,,
3,Z_5708,0,,
3,Z_5707,0,,
3,Z_5990,0,,
3,Z_5990-2,0,,
3,Z_6835,0,,
3,Z_6211,0,,
3,Z_6211-2,0,,
3,Z_5506,0,,
3,Z_5506-2,0,,
3,Z_4741,0,,
3,Z_4741-2,0,,
3,Z_6015,0,,
3,Z_6015-2,0,,
3,Z_6260,0,,
3,Z_6260-2,0,,
3,Z_5186,0,,
3,Z_5187,0,,
3,Z_5187-2,0,,
3,Z_6012,0,,
3,Z_6012-2,0,,
3,Z_7003,0,,
3,Z_7004,0,,
3,Z_6119,0,,
3,Z_6119-2,0,,
5,Z_5754,0,,
3,Z_5649,0,,
3,Z_5649-2,0,,
3,Z_6258,0,,
3,Z_6258-2,0,,
3,Z_5134,0,,
3,Z_5134-2,0,,
3,Z_6055,0,,
3,Z_6055-2,0,,
4,Z_5942,0,,
3,Z_6135,0,,
3,Z_6135-2,0,,
3,Z_6970,0,,
7,C_1,0,,
