route_id,route_short_name,route_long_name,route_desc,agency_id,route_color,route_text_color,route_type
Z_5694,18-13,Lomitas reversible,URBANO,3,00618E,FFFFFF,3
Z_5601,18-14,Torca,URBANO,3,00618E,FFFFFF,3
Z_5601-2,18-14,Tibabita,URBANO,3,00618E,FFFFFF,3
Z_6723,18-3,Germania reversible,COMPLEMENTARIO,5,FF6319,FFFFFF,3
Z_6723-2,18-3,Terminal norte reversible,COMPLEMENTARIO,5,FF6319,FFFFFF,3
Z_7034,18-3,Terminal norte,COMPLEMENTARIO,5,FF6319,FFFFFF,3
Z_7034-2,18-3,Est. terminal norte - germania,COMPLEMENTARIO,5,FF6319,FFFFFF,3
Z_6719,18-3,Germania,COMPLEMENTARIO,5,FF6319,FFFFFF,3
Z_5590,18-7,Soratama,ESPECIAL,6,822433,FFFFFF,3
Z_5594,18-9,Cerro norte,ESPECIAL,6,822433,FFFFFF,3
Z_5646,19-1,Est. alcala,URBANO,3,00618E,FFFFFF,3
Z_6453,19-10,Est. prado,COMPLEMENTARIO,5,FF6319,FFFFFF,3
Z_6068,19-11,Canodromo,URBANO,3,00618E,FFFFFF,3
Z_7039,19-12,Est. toberin,URBANO,3,00618E,FFFFFF,3
Z_5131,19-2,Est. alcala,URBANO,3,00618E,FFFFFF,3
Z_5606,19-3,Chico norte,URBANO,3,00618E,FFFFFF,3
Z_5606-2,19-3,Estacion tm cl 100,URBANO,3,00618E,FFFFFF,3
Z_5609,19-6,Cl 142 tm,URBANO,3,00618E,FFFFFF,3
Z_5609-2,19-6,Cedritos,URBANO,3,00618E,FFFFFF,3
Z_6067,19-7,Estacion calle 146,URBANO,3,00618E,FFFFFF,3
Z_6067-2,19-7,Cantabria,URBANO,3,00618E,FFFFFF,3
Z_5611,19-8,Est. cl 85,URBANO,3,00618E,FFFFFF,3
Z_5611-2,19-8,La cabrera,URBANO,3,00618E,FFFFFF,3
Z_5613,19-9,Carrera 7,URBANO,3,00618E,FFFFFF,3
Z_5613-2,19-9,Cardioinfantil,URBANO,3,00618E,FFFFFF,3
Z_5766,191,Unicentro,URBANO,3,00618E,FFFFFF,3
Z_5766-2,191,Metrovivienda,URBANO,3,00618E,FFFFFF,3
Z_5224,192,Catalina ii,URBANO,3,00618E,FFFFFF,3
Z_5224-2,192,Unicentro,URBANO,3,00618E,FFFFFF,3
Z_5229,192,Catalina ii ciclovia,URBANO,3,00618E,FFFFFF,3
Z_5229-2,192,Unicentro ciclovia,URBANO,3,00618E,FFFFFF,3
Z_4626,193B,Bachue,URBANO,3,00618E,FFFFFF,3
Z_4626-2,193B,Marly,URBANO,3,00618E,FFFFFF,3
T_2060,2,Museo nacional,TRONCAL,1,000000,FFFFFF,3
